name,mass,fall,year,reclat,reclong
Chulafinnee,16220,Found,1873,33.5,-85.66667
Duel Hill (1873),11300,Found,1873,35.85,-82.7
Aleppo,3200,Fell,1873,36.23333,37.13333
Waconda,50000,Found,1873,39.33333,-98.16667
Virba,3600,Fell,1873,43.53333,22.63333
Ssyromolotovo,217000,Found,1873,58.61667,98.93333
Coolac,19280,Found,1874,-34.96667,148.125
Cachiyuyal,2500,Found,1874,-25,-69.5
Castalia,7300,Fell,1874,36.08333,-78.06667
Butler,41000,Found,1874,38.3,-94.36667
Kerilis,5000,Fell,1874,48.4,-3.3
Sevrukovo,101000,Fell,1874,50.61667,36.6
Yardea,3290,Found,1875,-32.45,135.55
Santa Catharina,7000000,Found,1875,-26.21667,-48.6
Serrania de Varas,1500,Found,1875,-24.55,-69.06667
Mejillones,14830,Found,1875,-23.1,-70.5
North Chile,300000,Found,1875,-23,-69
Sitathali,1600,Fell,1875,20.91667,82.58333
Nagaria,20,Fell,1875,26.98333,78.21667
Alexander County,192,Found,1875,35.75,-81.25
Feid Chair,380,Fell,1875,36.88333,8.45
Canyon City,8600,Found,1875,40.9,-123.1
Homestead,230000,Fell,1875,41.8,-91.86667
Mornans,1300,Fell,1875,44.6,5.13333
Zsadany,552,Fell,1875,46.93333,21.5
Mantos Blancos,10300,Found,1876,-23.45,-70.11667
Judesegeri,680,Fell,1876,12.85,76.8
Babb's Mill (Blake's Iron),136000,Found,1876,36.3,-82.88333
Rochester,340,Fell,1876,41.08333,-86.28333
Vavilovka,1932,Fell,1876,46.15,32.83333
Verkhne Dnieprovsk,70,Found,1876,48.63333,34.36667
Rowton,3500,Fell,1876,52.76667,-2.51667
Ställdalen,34000,Fell,1876,59.93333,14.95
Nochtuisk,8,Found,1876,59.98333,117.58333
Cronstad,3650,Fell,1877,-27.7,27.3
Bhagur,18,Fell,1877,20.88333,74.83333
Casey County,723,Found,1877,37.25,-85
Cynthiana,6000,Fell,1877,38.4,-84.25
Warrenton,1600,Fell,1877,38.68333,-91.15
Soko-Banja,80000,Fell,1877,43.66667,21.86667
Mühlau,5,Found,1877,47.28333,11.41667
Hungen,112,Fell,1877,50.3,8.91667
Jodzie,30,Fell,1877,55.7,24.4
Lujan,50,Found,1878,-34.66667,-59.36667
La Charca,399,Fell,1878,20.66667,-101.28333
Haraiya,1000,Fell,1878,26.8,82.53333
Dandapur,5650,Fell,1878,26.91667,83.96667
Bluff (a),153300,Found,1878,29.87861,-96.87222
York (iron),835,Found,1878,40.75,-97.5
Tieschitz,28000,Fell,1878,49.6,17.11667
Rakovka,9000,Fell,1878,52.98333,37.03333
Mern,4000,Fell,1878,55.05,12.06667
Makarewa,2300,Found,1879,-46.31667,168.4
Nogoya,4000,Fell,1879,-32.36667,-59.83333
Campo de Pucara (iron),41,Found,1879,-27.66667,-67.11667
Tenham,160000,Fell,1879,-25.73333,142.95
Itapicuru-Mirim,2024,Fell,1879,-3.4,-44.33333
Kalumbi,4500,Fell,1879,17.83333,73.98333
Tomatlan,900,Fell,1879,20.16667,-105.21667
Dalton,53000,Found,1879,34.8,-84.98333
Lick Creek,1240,Found,1879,35.66667,-80.25
Densmore (1879),37200,Found,1879,39.65,-99.68333
Estherville,320000,Fell,1879,43.41667,-94.83333
La Bécasse,2800,Fell,1879,47.08333,1.75
Niagara,115,Found,1879,48,-97.93333
Gnadenfrei,1750,Fell,1879,50.66667,16.76667
Muizenberg,4610,Found,1880,-34.1,18.46667
Wittekrantz,2200,Fell,1880,-32.5,23
Bingera,10841,Found,1880,-29.88333,150.56667
Chetrinahatti,72,Fell,1880,14.5,76.5
Andhara,2700,Fell,1880,26.58333,85.56667
Lexington County,4760,Found,1880,34,-81.25
Colfax,2300,Found,1880,35.3,-81.73333
Veramin,54000,Fell,1880,35.33333,51.63333
Ivanpah,58000,Found,1880,35.33333,-115.31667
Takenouchi,720,Fell,1880,35.38333,134.9
Greenbrier County,5000,Found,1880,37.83333,-80.31667
Eagle Station,36000,Found,1880,38.61667,-84.96667
Aachen,21,Fell,1880,50.775,6.08333
Ratyn,910,Fell,1880,52.2,17.98333
Piquetberg,37,Fell,1881,-32.86667,18.71667
Winburg,50000,Found,1881,-28.5,27
Thunda,62100,Found,1881,-25.7,143.05
Pacula,3400,Fell,1881,21.05,-99.3
Costilla Peak,35500,Found,1881,36.83333,-105.23333
Admire,180000,Found,1881,38.7,-96.1
Grossliebenthal,8000,Fell,1881,46.35,30.58333
Middlesbrough,1600,Fell,1881,54.56667,-1.16667
Chilkoot,43000,Found,1881,59.33333,-136
Hex River Mountains,60000,Found,1882,-33.31667,19.61667
San Cristobal,5000,Found,1882,-23.43333,-69.5
Rancho de la Pila (1882),46500,Found,1882,24.11667,-104.3
Pirgunje,842,Fell,1882,25.8,88.45
Fukutomi,11620,Fell,1882,33.18333,130.2
Linville,442,Found,1882,35.86667,-81.91667
Brenham,4300000,Found,1882,37.5825,-99.16361
Mocs,300000,Fell,1882,46.8,24.03333
Pavlovka,2000,Fell,1882,52.03333,43
Silverton (New South Wales),350.7,Found,1883,-31.88333,141.2
Ngawi,1393,Fell,1883,-7.45,111.41667
Estacado,290000,Found,1883,33.9,-101.75
Adalia,1,Found,1883,36.9,30.68333
Jenny's Creek,12000,Found,1883,37.9,-82.38333
Enon,763,Found,1883,39.86667,-83.95
São Julião de Moreira,162000,Found,1883,41.76611,-8.58361
Grand Rapids,51700,Found,1883,42.96667,-85.76667
St. Caprais-de-Quinsac,360,Fell,1883,44.75,0.05
Alfianello,228000,Fell,1883,45.26667,10.15
Youndegin,3800000,Found,1884,-32.1,117.71667
Kokstad,341000,Found,1884,-30.55,29.41667
Chañaral,1207,Found,1884,-26.5,-70.25
Merceditas,42900,Found,1884,-26.33333,-70.28333
Corrizatillo,1328,Found,1884,-26.03333,-70.33333
Djati-Pengilon,166000,Fell,1884,-7.5,111.5
Pirthalla,1161,Fell,1884,29.58333,76
Glorieta Mountain,148000,Found,1884,35.6,-105.8
Joe Wright Mountain,42600,Found,1884,35.76667,-91.5
Hammond,24000,Found,1884,44.91667,-92.43333
Tysnes Island,19860,Fell,1884,60,5.61667
Puquios,6580,Found,1885,-27.15,-69.91667
Lucky Hill,20500,Found,1885,17.9,-77.63333
Mazapil,4000,Fell,1885,24.68333,-101.68333
Chandpur,1100,Fell,1885,27.28333,79.05
Tanokami Mountain,174000,Found,1885,34.91667,135.96667
Jamestown,4000,Found,1885,46.61667,-98.5
Pavlodar (pallasite),4500,Found,1885,51.16667,77.33333
Kulnine,55300,Found,1886,-34.15,141.78333
Nammianthal,4500,Fell,1886,12.28333,79.2
Kyushu,45000,Fell,1886,32.03333,130.63333
Cabin Creek,48500,Fell,1886,35.5,-93.5
Tonganoxie,11800,Found,1886,39.08333,-95.11667
Bradford Woods,762,Fell,1886,40.5,-80.08333
Assisi,2000,Fell,1886,43.03333,12.55
Rafrüti,18200,Found,1886,47,7.83333
Barntrup,17,Fell,1886,52,9.1
